,x,y,mass,size,ecc,signal,raw_mass,ep,frame,particle
142,332.0419810698926,406.9147104130639,4122.101767903884,3.1629815083801605,0.09116680811422154,87.07290842498496,8593.0,0.0,37,10.0
143,332.0411183541653,406.917165006183,4122.838100551338,3.163387711684556,0.09096233085852509,87.23540967368247,8593.0,0.058348563620947,38,10.0
144,311.80290464050586,427.20680800495484,4796.511504232105,3.232699238704127,0.05212650725818375,90.58064382575625,11614.0,0.0,39,10.0
145,311.8537802864148,427.8074142771495,4914.629182639204,3.229628357138971,0.05661411247626581,93.95939732890966,10949.0,0.0,40,10.0
146,636.7414794306584,534.8267259812342,4139.790307703061,3.1501843322623393,0.12452325080189422,88.66919286064224,9491.0,0.0,23,11.0
147,609.8069854389629,545.947494966439,4972.67443551371,3.2352455842954715,0.12785931961305305,94.7320436545323,10270.0,0.0,24,11.0
148,583.2483441946072,547.1966070618527,4758.392388083532,3.22303176823488,0.12015977568411097,91.27447990513619,11180.0,0.0,25,11.0
149,563.0391600604289,544.1299890365375,5554.388414779125,3.290493966770663,0.0865521666183477,97.77502732077019,13296.0,0.0,26,11.0
150,543.852252642903,543.7912095010793,5057.700786449511,3.3137062961710395,0.10684506394404159,87.48936345393862,13907.0,0.0,27,11.0
151,532.2155852928136,542.9488392964921,4842.8069780558735,3.3132229708019354,0.09174155170036741,82.83314743363563,12213.0,0.0,28,11.0
152,499.96006150243534,542.2916288686324,3535.2003929801363,3.188589674446369,0.1482176624515643,70.36378734934218,8812.0,0.0,29,11.0
153,481.7683603560079,543.2337990537864,5624.850231569117,3.281561197517284,0.10962127358044424,98.58662513232008,13897.0,0.04204347811414446,30,11.0
154,450.9554350639921,545.1911459064222,5535.928961841926,3.292108368871857,0.09143937280091942,97.42678248370454,13814.0,0.0,31,11.0
155,450.9552772856128,545.1906994778332,5535.877388554428,3.291770831132493,0.09154779782986694,97.4599065191921,13814.0,0.0,32,11.0
156,376.7756228782948,505.00811409300246,5087.362373309201,3.291220790613408,0.06801500315893656,88.83059299917895,12634.0,0.0,33,11.0
157,372.16038640090784,488.98146826657637,3963.2877864368256,3.1768801626072656,0.1365032861430591,82.24969827064841,9998.0,0.05858559922263015,34,11.0
158,372.16154207690056,488.97957944568344,3963.5498462006644,3.1765267115688025,0.13561050919326634,82.2264964668305,9998.0,0.0,35,11.0
159,317.1704736401441,471.0211957499674,4563.570553909092,3.237549537849405,0.16141026318935242,87.65654812030044,9360.0,0.06253176210250075,36,11.0
160,318.07208870682996,471.1660991848055,5194.699433569506,3.2337642010507808,0.14927107756343744,99.56767555323393,10509.0,0.0,37,11.0
161,302.8547422354653,471.83507630956586,4893.674884260825,3.199941827835345,0.09345306317103162,98.42933392384526,12241.0,0.040930323207072586,38,11.0
