,x,y,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,50.229265923671235,433.9260271228828,3547.750606780971,3.244383547776244,0.039860514778080176,65.85691233378085,8250.0,0.0,8,0.0
1,113.02651276962465,438.07634693888986,4338.002791773715,3.3436975340340136,0.01693801149722337,70.70570226285058,9333.0,0.0,10,0.0
2,64.75945008358896,438.22411597525,3074.420239302524,3.170116117831999,0.02969518710491123,62.81831446795748,6787.0,0.0,13,0.0
3,111.98924345887369,440.21915034094195,4606.886790552371,3.3107907371658496,0.008725985824128292,77.86835902053448,10691.0,0.0,15,0.0
4,112.07742860574268,486.7657917089551,3145.282177306533,3.1544830050392547,0.018881020677713623,66.11160349650933,7019.0,0.0,18,0.0
5,112.28136714996945,499.97839757569517,4873.15641085467,3.3852735428731546,0.02711279385770382,73.54270437256626,10662.0,0.0,19,0.0
6,118.2718282558324,504.3653381615027,4732.6901823495045,3.2918051068135883,0.012441135102506069,76.99113215305414,10770.0,0.0,20,0.0
7,123.87003626922062,504.9685496264662,4412.793358528874,3.323480720719566,0.056955453737695894,74.27808254601011,9710.0,0.0,21,0.0
8,129.9147470683212,505.13673390385395,4124.733589144178,3.2617225558168035,0.0520895388238364,75.91934009563106,9677.0,0.0,22,0.0
9,136.94901296068878,505.9601888064925,3939.4281415725395,3.246505109978943,0.04922147122886629,74.60799660801437,9219.0,0.0,23,0.0
10,146.67376986679793,505.7481864547888,4220.210608029249,3.1961708709390764,0.051047138898581625,82.06436055790101,9712.0,0.0,24,0.0
11,114.39450032587462,497.9678010507906,4957.131088527552,3.319447287742253,0.01716537680429513,78.13985458209345,11194.0,0.0,13,1.0
12,130.76235044355883,502.93028322424686,4512.296546575831,3.280397937896258,0.04164033574156975,79.43087252359774,10400.0,0.0,14,1.0
13,146.83892677042087,502.98727022027623,4677.61721666269,3.286508412579024,0.03304492729537207,82.73513145931788,11058.0,0.0,15,1.0
14,161.23859865256125,503.00130981411365,4573.451716656605,3.2784429079599233,0.023221546378235834,81.28172482209605,10542.0,0.0,16,1.0
15,167.22015542177076,502.1118639217291,4747.398437718069,3.310562822005827,0.06183188082000727,80.48157476863739,10910.0,0.0,17,1.0
16,167.1794324454469,502.07565781634923,4349.479375240669,3.2852327201495735,0.0530909805558265,76.9792643452506,10338.0,0.0,18,1.0
17,166.84752418251864,502.0686556822645,3494.010954752401,3.2239538468639086,0.03615150840400736,67.68272792853708,8651.0,0.0,19,1.0
18,39.170969065052226,338.3578862929807,4546.039056520525,3.3404075822980572,0.013367219609850642,71.71916896067299,10644.0,0.0,16,2.0
19,40.15764567395014,339.28316461515533,5061.885263494677,3.2915839172574124,0.01642489178092017,86.23025868068292,11599.0,0.0,17,2.0
20,40.98639868110716,346.1300833891356,3836.284279605665,3.2781432018365106,0.053023929294729086,68.82851870869465,8694.0,0.0,18,2.0
21,45.6231401454209,371.0539148993218,3934.9741821655975,3.2707325991162617,0.023371926483995532,65.04573852872394,9392.0,0.0,19,2.0
22,106.44673930857165,370.2327529082049,4482.393521349967,3.304783660458831,0.024368911515685564,71.8583900095172,11029.0,0.0,20,2.0
23,134.8716849815031,371.91523943440427,4427.648975038075,3.2226134039217595,0.056076104557474735,85.75742257584804,10318.0,0.0,21,2.0
24,161.15753930138834,371.85029018552433,4884.252824178152,3.312106081905972,0.030029664051460882,83.0876898042314,10839.0,0.0,22,2.0
25,182.27129219172454,370.11760636284583,5092.546671425521,3.3463870423563407,0.0220493019151858,80.27442673014204,11459.0,0.0,23,2.0
26,204.9545453032783,370.8927456297527,4827.215589015375,3.282560276214709,0.05426076352388095,86.47277662092876,11158.0,0.0,24,2.0
27,224.95655351653022,370.80194923688896,5072.116389790577,3.2963615259298624,0.0333539667125576,88.24116881099243,11196.0,0.0,25,2.0
28,244.76514180585764,367.2685632377201,4633.367715465919,3.3626904483744346,0.04041671156562141,70.60068333098053,11072.0,0.0,26,2.0
29,259.85658099489933,369.8626786017883,4919.337827745623,3.290081297969816,0.051157005707365734,86.26799376539869,11080.0,0.0,27,2.0
30,275.0031215440575,369.0303162240729,4737.652183543858,3.290203126040704,0.06253926121503633,83.88953979593344,10978.0,0.0,28,2.0
31,290.0174971472316,369.1096845425384,4913.185581451295,3.304526290913412,0.04181555527838303,85.12449539815736,10994.0,0.0,29,2.0
32,306.7798263858933,367.1996484196193,4727.105325132348,3.3915405469692295,0.022594978846475024,69.27853432045454,10779.0,0.0,30,2.0
33,317.9199245363176,368.1450722777822,4930.558392141538,3.3380025503093127,0.03560013846814353,80.71466842113963,10248.0,0.0,31,2.0
34,333.0527943947619,368.82344874386837,5076.948801337583,3.274221556378692,0.03203677476753973,91.66763041429468,11228.0,0.0,32,2.0
35,349.1226645252394,368.10356968652593,4647.480624775722,3.299350585450762,0.0350304691633091,80.81197131386357,10661.0,0.0,33,2.0
36,364.0375156753433,366.11914944771036,5048.893199715338,3.3959836459048645,0.029446138453656966,75.56779198351089,9783.0,0.0,34,2.0
37,374.81861731733204,368.7676206840636,5301.105340252062,3.4124565657432346,0.017461951545413596,76.56651723388705,10938.0,0.0,35,2.0
38,386.0308624460313,366.8876582367204,4791.859841056869,3.2990755704201464,0.06423783368089402,83.77141129156234,10546.0,0.0,36,2.0
39,399.07533973044036,366.8171140211632,4223.99876690896,3.206237614379726,0.05378465740862332,83.60134163006713,9949.0,0.0,37,2.0
40,413.0156384159913,366.0555601002888,4459.923718627888,3.2718573479066144,0.027668060725790936,81.08952215687069,10806.0,0.0,38,2.0
